"Business Name","Open /Closed","Street Number","Street Name 1","Street Name 2","Telephone No.",Website,Facebook,Instagram,Description,"Food & Drink","Stores and Shopping","Health, Wellness and Fitness",Entertainment,"Contractors / Construction","Hair and Nails","New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,"zip code",city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"SHERWIN WILLIAMS CO",,700,"S Broad Street","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"700 S Broad Street",19146,philadelphia,PA,39.942635,-75.165778,1,range_interpolation,700,"S Broad St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"CONSTRUCTION MALL INC",,1501,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1501 Washington Avenue",19146,philadelphia,PA,39.938426,-75.168574,1,rooftop,1501,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Kerrs Building Materials, Inc.",,1528,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1528 Washington Avenue",19146,philadelphia,PA,39.937989,-75.168814,1,range_interpolation,1528,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Marble Works",,1530,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1530 Washington Avenue",19146,philadelphia,PA,39.937993,-75.168839,1,range_interpolation,1530,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Express Supplies Inc",,1531,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1531 Washington Avenue",19146,philadelphia,PA,39.93868,-75.168789,1,rooftop,1531,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
Daltile,,1551,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1551 Washington Avenue",19146,philadelphia,PA,39.938584,-75.169481,1,rooftop,1551,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"YR Supply Tile & Vanity",,1551,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1551 Washington Avenue",19146,philadelphia,PA,39.938584,-75.169481,1,rooftop,1551,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"C&R Building Supply",,1600,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1600 Washington Avenue",19146,philadelphia,PA,39.938413,-75.170025,1,range_interpolation,1600,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"SHERWIN WILLIAMS CO",,1705,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1705 Washington Avenue",19146,philadelphia,PA,39.938637,-75.171811,1,range_interpolation,1705,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Quality's Home Center",,1803,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1803 Washington Avenue",19146,philadelphia,PA,39.938884,-75.17356,1,rooftop,1803,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Quality's Home Center",,1803,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1803 Washington Avenue",19146,philadelphia,PA,39.938884,-75.17356,1,rooftop,1803,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Quality's Home Center",,1803,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1803 Washington Avenue",19146,philadelphia,PA,39.938884,-75.17356,1,rooftop,1803,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Quality's Home Center",,1803,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1803 Washington Avenue",19146,philadelphia,PA,39.938884,-75.17356,1,rooftop,1803,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Quality's Home Center",,1803,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1803 Washington Avenue",19146,philadelphia,PA,39.938884,-75.17356,1,rooftop,1803,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Quality's Home Center",,1803,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1803 Washington Avenue",19146,philadelphia,PA,39.938884,-75.17356,1,rooftop,1803,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"A & A INTERNATIONAL TRADING INC",,1913,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1913 Washington Avenue",19146,philadelphia,PA,39.938998,-75.174872,1,range_interpolation,1913,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"ROMA ALUMINUM CO INC",,1924,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1924 Washington Avenue",19146,philadelphia,PA,39.938726,-75.175067,1,range_interpolation,1924,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"New Stars PA LLC",,1935,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"1935 Washington Avenue",19146,philadelphia,PA,39.939283,-75.176014,1,rooftop,1935,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Colonial Marble",,2000,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"2000 Washington Avenue",19146,philadelphia,PA,39.939171,-75.17631,1,range_interpolation,2000,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"ProBuild - Home & Garden",,2001,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"2001 Washington Avenue",19146,philadelphia,PA,39.938871,-75.17631,1,range_interpolation,2001,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Cava Building Supply",,2007,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"2007 Washington Avenue",19146,philadelphia,PA,39.939184,-75.176377,1,range_interpolation,2007,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Philly Home Supplies",,2035,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"2035 Washington Avenue",19146,philadelphia,PA,39.939255,-75.176802,1,range_interpolation,2035,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"IVAN SUPPLY CO LLC",,2100,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"2100 Washington Avenue",19146,philadelphia,PA,39.939006,-75.178624,1,rooftop,2100,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"MTO Bath & Tile",,2112,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"2112 Washington Avenue",19146,philadelphia,PA,39.939146,-75.178426,1,range_interpolation,2112,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"VIP BUILDING SUPPLY LLC",,2202,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"2202 Washington Avenue",19146,philadelphia,PA,39.939334,-75.179889,1,range_interpolation,2202,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"US Nails & Beauty Supplies",,2301,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"2301 Washington Avenue",19146,philadelphia,PA,39.940028,-75.182245,1,rooftop,2301,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Expert Roofing Supply",,2301,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"2301 Washington Avenue",19146,philadelphia,PA,39.940028,-75.182245,1,rooftop,2301,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"WASHINGTON BROTHER IMPORT EXPORT LLC",,2301,"Washington Avenue","Philadelphia, PA 19146",,,,,"Construction / Contractor Supply",,,,,,,,"2301 Washington Avenue",19146,philadelphia,PA,39.940028,-75.182245,1,rooftop,2301,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
