Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source
Insomnia Cookies,,1420,Carpenter Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1420 Carpenter Street,19146,philadelphia,39.938955,-75.166843,1,range_interpolation,1420,Carpenter St,Philadelphia,PA,Philadelphia County,19146,US,TIGER/Line® dataset from the US Census Bureau
Nam Son Bakery,,1600,Carpenter Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1600 Carpenter Street,19146,philadelphia,39.939012,-75.170351,1,rooftop,1600,Carpenter St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
HAI TIEN RESTAURANT INC,,1600,Carpenter Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1600 Carpenter Street,19146,philadelphia,39.939012,-75.170351,1,rooftop,1600,Carpenter St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Ultimo Coffee,,2149,Catharine Street,"Philadelphia, PA 19146",,,,,Restaurant - Coffee House,,,,,,,,2149 Catharine Street,19146,philadelphia,39.942569,-75.17902,1,rooftop,2149,Catharine St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Xing Wang Restaurant,,1844,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1844 Christian Street,19146,philadelphia,39.940839,-75.174192,1,rooftop,1844,Christian St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
19 Degrees Café,,1847,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1847 Christian Street,19146,philadelphia,39.941194,-75.174108,1,rooftop,1847,Christian St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Sidecar Bar & Grille,,2201,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2201 Christian Street,19146,philadelphia,39.941827,-75.17948,1,rooftop,2201,Christian St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Thai Square Restaurant,,2521,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2521 Christian Street,19146,philadelphia,39.942588,-75.185312,1,rooftop,2521,Christian St,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
The Igloo,,2223,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2223 Grays Ferry Avenue,19146,philadelphia,39.945136,-75.179483,1,rooftop,2223,Grays Ferry Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Grace Tavern,,2229,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2229 Grays Ferry Avenue,19146,philadelphia,39.945052,-75.179601,1,rooftop,2229,Grays Ferry Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
Balkan Express Restaurant,,2237,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2237 Grays Ferry Avenue,19146,philadelphia,39.944841,-75.17994,1,rooftop,2237,Grays Ferry Ave,Philadelphia,PA,Philadelphia County,19146,US,Philadelphia
