"Business Name","Open /Closed","Street Number","Street Name 1","Street Name 2","Telephone No.",Website,Facebook,Instagram,Description,"Food & Drink","Stores and Shopping","Health, Wellness and Fitness",Entertainment,"Contractors / Construction","Hair and Nails","New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,"zip code",city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"As-Salaam Barber Shop",,1444,"Christian Street","Philadelphia, PA 19146",,,,,"Hair Salon",,,,,,,,"1444 Christian Street",19146,philadelphia,PA,39.940034,-75.167899,1,rooftop,1444,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Modify: The Hair Art Studio",,1701,"Christian Street","Philadelphia, PA 19146",,,,,"Hair Salon",,,,,,,,"1701 Christian Street",19146,philadelphia,PA,39.94081,-75.171209,1,rooftop,1701,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"American Mortals 2101",,2101,"Christian Street","Philadelphia, PA 19146",,,,,"Hair Salon / Barber",,,,,,,,"2101 Christian Street",19146,philadelphia,PA,39.941662,-75.177843,1,rooftop,2101,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"HK Hair Studio",,625,"S 23rd Street","Philadelphia, PA 19146",,,,,"Hair Studio",,,,,,,,"625 S 23rd Street",19146,philadelphia,PA,39.94467,-75.180169,1,rooftop,625,"S 23rd St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Heaven Sent Hair Designers",,1448,"South Street","Philadelphia, PA 19146",,,,,"Hair Studio",,,,,,,,"1448 South Street",19146,philadelphia,PA,39.943709,-75.167097,1,rooftop,1448,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Barbershop Denim",,1517,"South Street","Philadelphia, PA 19146",,,,,"Hair Salon",,,,,,,,"1517 South Street",19146,philadelphia,PA,39.944113,-75.16775,1,rooftop,1517,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Cynergy Hair Studio",,1527,"South Street","Philadelphia, PA 19146",,,,,"Hair Salon",,,,,,,,"1527 South Street",19146,philadelphia,PA,39.944148,-75.168033,1,rooftop,1527,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Hair 4 U",,1606,"South Street","Philadelphia, PA 19146",,,,,"Hair Salon",,,,,,,,"1606 South Street",19146,philadelphia,PA,39.943945,-75.169096,1,rooftop,1606,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Indique Virgin Hair Extensions",,1607,"South Street","Philadelphia, PA 19146",,,,,"Hair Salon",,,,,,,,"1607 South Street",19146,philadelphia,PA,39.944239,-75.16912,1,rooftop,1607,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Gods Kreative Hands",,1715,"South Street","Philadelphia, PA 19146",,,,,"Hair Salon",,,,,,,,"1715 South Street",19146,philadelphia,PA,39.944442,-75.170858,1,rooftop,1715,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Kreationz by Hands Unisex Hair Studio",,1717,"South Street","Philadelphia, PA 19146",,,,,"Hair Salon",,,,,,,,"1717 South Street",19146,philadelphia,PA,39.944468,-75.170914,1,rooftop,1717,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Polished By An Angel Nail Salon",,1731,"South Street","Philadelphia, PA 19146",,,,,"Nail Salon",,,,,,,,"1731 South Street",19146,philadelphia,PA,39.944501,-75.171344,1,rooftop,1731,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Admirations Hair It Iz",,1733,"South Street","Philadelphia, PA 19146",,,,,"Hair Salon",,,,,,,,"1733 South Street",19146,philadelphia,PA,39.944509,-75.171406,1,rooftop,1733,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Bobby Mack Hair",,1944,"South Street","Philadelphia, PA 19146",,,,,"Hair Dresser",,,,,,,,"1944 South Street",19146,philadelphia,PA,39.944669,-75.174974,1,rooftop,1944,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"South Street Nails Salon",,2208,"South Street","Philadelphia, PA 19146",,,,,"Nail Salon",,,,,,,,"2208 South Street",19146,philadelphia,PA,39.94514,-75.178988,1,rooftop,2208,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Deluxe Hair Salon",,2209,"South Street","Philadelphia, PA 19146",,,,,"Hair Salon",,,,,,,,"2209 South Street",19146,philadelphia,PA,39.945506,-75.178921,1,rooftop,2209,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Christian Nails & Spa",,1537,"Christian Street","Philadelphia, PA 19146",,,,,"Nail Salon",,,,,,,,"1537 Christian Street",19146,philadelphia,PA,39.94061,-75.169392,1,rooftop,1537,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Nineteen Nails & Spa",,770,"S 19th Street","Philadelphia, PA 19146",,,,,"Nail Salon",,,,,,,,"770 S 19th Street",19146,philadelphia,PA,39.941908,-75.17429,1,rooftop,770,"S 19th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Queen Nails & Spa",,1515,"South Street","Philadelphia, PA 19146",,,,,"Nail Salon",,,,,,,,"1515 South Street",19146,philadelphia,PA,39.944071,-75.167703,1,rooftop,1515,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Polished By An Angel Nail Salon",,1731,"South Street","Philadelphia, PA 19146",,,,,"Nail Salon",,,,,,,,"1731 South Street",19146,philadelphia,PA,39.944501,-75.171344,1,rooftop,1731,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
