"Business Name","Open /Closed","Street Number","Street Name 1","Street Name 2","Telephone No.",Website,Facebook,Instagram,Description,"Food & Drink","Stores and Shopping","Health, Wellness and Fitness",Entertainment,"Contractors / Construction","Hair and Nails","New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,"zip code",city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"Mediation & Energy Reading",,2243,"Grays Ferry Avenue","Philadelphia, PA 19146",215-303-0269,,,,"Health & Wellness",,,,,,,,"2243 Grays Ferry Avenue",19146,philadelphia,PA,39.944762,-75.180078,1,rooftop,2243,"Grays Ferry Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"The Indie Shelf",,2247,"Grays Ferry Avenue","Philadelphia, PA 19146",,,,,"Health & Beauty",,,,,,,,"2247 Grays Ferry Avenue",19146,philadelphia,PA,39.944725,-75.180205,1,rooftop,2247,"Grays Ferry Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Six Fishes Neighborhood Acupuncture",,2308,"Grays Ferry Avenue","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"2308 Grays Ferry Avenue",19146,philadelphia,PA,39.945075,-75.180289,1,rooftop,2308,"Grays Ferry Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Bethesda Project",,609,"S 15th Street","Philadelphia, PA 19146",,,,,"Health & Human Services",,,,,,,,"609 S 15th Street",19146,philadelphia,PA,39.943547,-75.167133,1,rooftop,609,"S 15th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Bethesda Project",,700,"S 15th Street","Philadelphia, PA 19146",,,,,"Health & Human Services",,,,,,,,"700 S 15th Street",19146,philadelphia,PA,39.942844,-75.167369,1,range_interpolation,700,"S 15th St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Six Fishes Healing Arts",,750,"S 15th Street","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"750 S 15th Street",19146,philadelphia,PA,39.941701,-75.167895,1,rooftop,750,"S 15th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Raja Yoga and Meditation Center",,724,"S 20th Street","Philadelphia, PA 19146",,,,,"Health and Wellness",,,,,,,,"724 S 20th Street",19146,philadelphia,PA,39.942928,-75.175689,1,rooftop,724,"S 20th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Bethesda Project",,816,"S 20th Street","Philadelphia, PA 19146",,,,,"Health & Human Services",,,,,,,,"816 S 20th Street",19146,philadelphia,PA,39.941518,-75.175964,1,rooftop,816,"S 20th St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Jefferson Methadone Clinic",,1021,"S 21st Street","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"1021 S 21st Street",19146,philadelphia,PA,39.940033,-75.177925,1,range_interpolation,1021,"S 21st St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Bhakti Garden",,1408,"South Street","Philadelphia, PA 19146",,,,,"Health Services",,,,,,,,"1408 South Street",19146,philadelphia,PA,39.943556,-75.165997,1,rooftop,1408,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Nutrition Limited, LLC",,1514,"South Street","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"1514 South Street",19146,philadelphia,PA,39.943728,-75.167379,1,range_interpolation,1514,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Anjali Power Yoga",,1519,"South Street","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"1519 South Street",19146,philadelphia,PA,39.94412,-75.167805,1,rooftop,1519,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Symmetry Dance Wellness",,1529,"South Street","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"1529 South Street",19146,philadelphia,PA,39.944157,-75.168093,1,rooftop,1529,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Bethesda Project - Brothers Keepers",,1628,"South Street","Philadelphia, PA 19146",,,,,"Health & Human Services",,,,,,,,"1628 South Street",19146,philadelphia,PA,39.943957,-75.16913,1,range_interpolation,1628,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Bethesda Project - Brothers Keepers",,1630,"South Street","Philadelphia, PA 19146",,,,,"Health & Human Services",,,,,,,,"1630 South Street",19146,philadelphia,PA,39.943961,-75.169154,1,range_interpolation,1630,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Health on South Rx",,1631,"South Street","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"1631 South Street",19146,philadelphia,PA,39.944338,-75.169886,1,rooftop,1631,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Revel Ride",,1632,"South Street","Philadelphia, PA 19146",,,,,Fitness,,,,,,,,"1632 South Street",19146,philadelphia,PA,39.943965,-75.169179,1,range_interpolation,1632,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Health on South Rx",,1633,"South Street","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"1633 South Street",19146,philadelphia,PA,39.944338,-75.169886,1,rooftop,1633,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Puentes De Salud",,1700,"South Street","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"1700 South Street",19146,philadelphia,PA,39.944095,-75.171031,1,rooftop,1700,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Health Harbor Spa",,2006,"South Street","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"2006 South Street",19146,philadelphia,PA,39.944693,-75.175395,1,rooftop,2006,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Amrita Yoga South",,2306,"South Street","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"2306 South Street",19146,philadelphia,PA,39.945256,-75.179617,1,range_interpolation,2306,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"GAUDENZIA Washington House",,1516,"Washington Avenue","Philadelphia, PA 19146",,,,,"Health & Human Services (addiction treatment)",,,,,,,,"1516 Washington Avenue",19146,philadelphia,PA,39.937967,-75.168666,1,range_interpolation,1516,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Feelean Fitness Training Studio",,1551,"Washington Avenue","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"1551 Washington Avenue",19146,philadelphia,PA,39.938584,-75.169481,1,rooftop,1551,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Commando Krav Maga & Diamond Mixed Martial Arts",,1714,"Washington Avenue","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"1714 Washington Avenue",19146,philadelphia,PA,39.938187,-75.172306,1,rooftop,1714,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"OpenBox Athletics",,1901,"Washington Avenue","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"1901 Washington Avenue",19146,philadelphia,PA,39.939152,-75.174954,1,rooftop,1901,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
BalletX,,1923,"Washington Avenue","Philadelphia, PA 19146",,,,,"Health & Wellness",,,,,,,,"1923 Washington Avenue",19146,philadelphia,PA,39.939018,-75.174994,1,range_interpolation,1923,"Washington Ave",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Free House Fitness Studio",,1430,"South Street","Philadelphia, PA 19146",,,,,"Gym / Physical Fitness",,,,,,,,"1430 South Street",19146,philadelphia,PA,39.943572,-75.165973,1,range_interpolation,1430,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Indego Bike Station",,1505,"South Street","Philadelphia, PA 19146",,,,,"Physical Fitness",,,,,,,,"1505 South Street",19146,philadelphia,PA,39.943986,-75.167447,1,rooftop,1505,"South St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Commando Krav Maga & Diamond Mixed Martial Arts",,2101,"South Street","Philadelphia, PA 19146",,,,,"Heath / Physical Fitness",,,,,,,,"2101 South Street",19146,philadelphia,PA,39.94493,-75.176985,1,range_interpolation,2101,"South St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
