"Business Name","Open /Closed","Street Number","Street Name 1","Street Name 2","Telephone No.",Website,Facebook,Instagram,Description,"Food & Drink","Stores and Shopping","Health, Wellness and Fitness",Entertainment,"Contractors / Construction","Hair and Nails","New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,"zip code",city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"The Bainbridge Club",,1529,"Bainbridge Street","Philadelphia, PA 19146",,,,,"Event Hall",,,,,,,,"1529 Bainbridge Street",19146,philadelphia,PA,39.943243,-75.168134,1,range_interpolation,1529,"Bainbridge St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"New Day Spring Baptist Church",,1621,"Bainbridge Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"1621 Bainbridge Street",19146,philadelphia,PA,39.943424,-75.169614,1,range_interpolation,1621,"Bainbridge St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Holy Trinity Baptist Church",,1818,"Bainbridge Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"1818 Bainbridge Street",19146,philadelphia,PA,39.943465,-75.172348,1,range_interpolation,1818,"Bainbridge St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Saint Mary's Episcopal Church",,1831,"Bainbridge Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"1831 Bainbridge Street",19146,philadelphia,PA,39.943785,-75.172446,1,range_interpolation,1831,"Bainbridge St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Chabad Young Philly",,1432,"Catharine Street","Philadelphia, PA 19146",,,,,"Event Hall",,,,,,,,"1432 Catharine Street",19146,philadelphia,PA,39.940757,-75.167479,1,rooftop,1432,"Catharine St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Chester A. Arthur School",,2000,"Catharine Street","Philadelphia, PA 19146",,,,,"School / Educational",,,,,,,,"2000 Catharine Street",19146,philadelphia,PA,39.942139,-75.175677,1,range_interpolation,2000,"Catharine St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Mt Horeb Holy Church",,2100,"Catharine Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"2100 Catharine Street",19146,philadelphia,PA,39.942113,-75.177749,1,rooftop,2100,"Catharine St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Catharine Park",,2200,"Catharine Street","Philadelphia, PA 19146",,,,,"Park / Recreation",,,,,,,,"2200 Catharine Street",19146,philadelphia,PA,39.942277,-75.179381,1,rooftop,2200,"Catharine St",Philadelphia,PA,"Philadelphia County",19146,US,Philadelphia
"Philadelphia Ebenezer Seventh-day Adventist Church",,1437,"Christian Street","Philadelphia, PA 19146",,,,,"House of Worship",,,,,,,,"1437 Christian Street",19146,philadelphia,PA,39.94031,-75.167203,1,range_interpolation,1437,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"Mighty Writers South",,1501,"Christian Street","Philadelphia, PA 19146",,,,,Educational,,,,,,,,"1501 Christian Street",19146,philadelphia,PA,39.9401,-75.167976,1,range_interpolation,1501,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"The Deacon",,1600,"Christian Street","Philadelphia, PA 19146",,,,,"Hotel and Event Space",,,,,,,,"1600 Christian Street",19146,philadelphia,PA,39.940582,-75.169549,1,range_interpolation,1600,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"The Aspen Grove School",,1600,"Christian Street","Philadelphia, PA 19146",,,,,"School / Educational / Day Care",,,,,,,,"1600 Christian Street",19146,philadelphia,PA,39.940582,-75.169549,1,range_interpolation,1600,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
"YMCA - Christian Street Branch",,1724,"Christian Street","Philadelphia, PA 19146",,,,,"Recreational / Educational",,,,,,,,"1724 Christian Street",19146,philadelphia,PA,39.940526,-75.171444,1,range_interpolation,1724,"Christian St",Philadelphia,PA,"Philadelphia County",19146,US,"TIGER/Line® dataset from the US Census Bureau"
