Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,state
SHERWIN WILLIAMS CO,,700,S Broad Street,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,700 S Broad Street,19146,philadelphia,PA
CONSTRUCTION MALL INC,,1501,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1501 Washington Avenue,19146,philadelphia,PA
"Kerrs Building Materials, Inc.",,1528,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1528 Washington Avenue,19146,philadelphia,PA
Marble Works,,1530,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1530 Washington Avenue,19146,philadelphia,PA
Express Supplies Inc,,1531,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1531 Washington Avenue,19146,philadelphia,PA
Daltile,,1551,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1551 Washington Avenue,19146,philadelphia,PA
YR Supply Tile & Vanity,,1551,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1551 Washington Avenue,19146,philadelphia,PA
C&R Building Supply,,1600,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1600 Washington Avenue,19146,philadelphia,PA
SHERWIN WILLIAMS CO,,1705,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1705 Washington Avenue,19146,philadelphia,PA
Quality's Home Center,,1803,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1803 Washington Avenue,19146,philadelphia,PA
Quality's Home Center,,1803,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1803 Washington Avenue,19146,philadelphia,PA
Quality's Home Center,,1803,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1803 Washington Avenue,19146,philadelphia,PA
Quality's Home Center,,1803,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1803 Washington Avenue,19146,philadelphia,PA
Quality's Home Center,,1803,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1803 Washington Avenue,19146,philadelphia,PA
Quality's Home Center,,1803,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1803 Washington Avenue,19146,philadelphia,PA
A & A INTERNATIONAL TRADING INC,,1913,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1913 Washington Avenue,19146,philadelphia,PA
ROMA ALUMINUM CO INC,,1924,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1924 Washington Avenue,19146,philadelphia,PA
New Stars PA LLC,,1935,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,1935 Washington Avenue,19146,philadelphia,PA
Colonial Marble,,2000,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,2000 Washington Avenue,19146,philadelphia,PA
ProBuild - Home & Garden,,2001,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,2001 Washington Avenue,19146,philadelphia,PA
Cava Building Supply,,2007,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,2007 Washington Avenue,19146,philadelphia,PA
Philly Home Supplies,,2035,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,2035 Washington Avenue,19146,philadelphia,PA
IVAN SUPPLY CO LLC,,2100,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,2100 Washington Avenue,19146,philadelphia,PA
MTO Bath & Tile,,2112,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,2112 Washington Avenue,19146,philadelphia,PA
VIP BUILDING SUPPLY LLC,,2202,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,2202 Washington Avenue,19146,philadelphia,PA
US Nails & Beauty Supplies,,2301,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,2301 Washington Avenue,19146,philadelphia,PA
Expert Roofing Supply,,2301,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,2301 Washington Avenue,19146,philadelphia,PA
WASHINGTON BROTHER IMPORT EXPORT LLC,,2301,Washington Avenue,"Philadelphia, PA 19146",,,,,Construction / Contractor Supply,,,,,,,,2301 Washington Avenue,19146,philadelphia,PA
