Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,latitude,longitude
Insomnia Cookies,,1420,Carpenter Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1420 Carpenter Street,19146,philadelphia,,
Nam Son Bakery,,1600,Carpenter Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1600 Carpenter Street,19146,philadelphia,,
HAI TIEN RESTAURANT INC,,1600,Carpenter Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1600 Carpenter Street,19146,philadelphia,,
Ultimo Coffee,,2149,Catharine Street,"Philadelphia, PA 19146",,,,,Restaurant - Coffee House,,,,,,,,2149 Catharine Street,19146,philadelphia,,
Xing Wang Restaurant,,1844,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1844 Christian Street,19146,philadelphia,,
19 Degrees Café,,1847,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,1847 Christian Street,19146,philadelphia,,
Sidecar Bar & Grille,,2201,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2201 Christian Street,19146,philadelphia,,
Thai Square Restaurant,,2521,Christian Street,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2521 Christian Street,19146,philadelphia,,
The Igloo,,2223,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2223 Grays Ferry Avenue,19146,philadelphia,,
Grace Tavern,,2229,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2229 Grays Ferry Avenue,19146,philadelphia,,
Balkan Express Restaurant,,2237,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2237 Grays Ferry Avenue,19146,philadelphia,,
Old Towne Pizza & Sanna's,,2301,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2301 Grays Ferry Avenue,19146,philadelphia,,
Devil's Pocket food & Spirits,,2425,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Restaurant / Bar,,,,,,,,2425 Grays Ferry Avenue,19146,philadelphia,,
L'anima,,1001,S 17th Street,"Philadelphia, PA 19146",,,,,Restaurant,,,,,,,,1001 S 17th Street,19146,philadelphia,,
