Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,state
Mediation & Energy Reading,,2243,Grays Ferry Avenue,"Philadelphia, PA 19146",215-303-0269,,,,Health & Wellness,,,,,,,,2243 Grays Ferry Avenue,19146,philadelphia,PA
The Indie Shelf,,2247,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Health & Beauty,,,,,,,,2247 Grays Ferry Avenue,19146,philadelphia,PA
Six Fishes Neighborhood Acupuncture,,2308,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,2308 Grays Ferry Avenue,19146,philadelphia,PA
Bethesda Project,,609,S 15th Street,"Philadelphia, PA 19146",,,,,Health & Human Services,,,,,,,,609 S 15th Street,19146,philadelphia,PA
Bethesda Project,,700,S 15th Street,"Philadelphia, PA 19146",,,,,Health & Human Services,,,,,,,,700 S 15th Street,19146,philadelphia,PA
Six Fishes Healing Arts,,750,S 15th Street,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,750 S 15th Street,19146,philadelphia,PA
Raja Yoga and Meditation Center,,724,S 20th Street,"Philadelphia, PA 19146",,,,,Health and Wellness,,,,,,,,724 S 20th Street,19146,philadelphia,PA
Bethesda Project,,816,S 20th Street,"Philadelphia, PA 19146",,,,,Health & Human Services,,,,,,,,816 S 20th Street,19146,philadelphia,PA
Jefferson Methadone Clinic,,1021,S 21st Street,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,1021 S 21st Street,19146,philadelphia,PA
Bhakti Garden,,1408,South Street,"Philadelphia, PA 19146",,,,,Health Services,,,,,,,,1408 South Street,19146,philadelphia,PA
"Nutrition Limited, LLC",,1514,South Street,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,1514 South Street,19146,philadelphia,PA
Anjali Power Yoga,,1519,South Street,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,1519 South Street,19146,philadelphia,PA
Symmetry Dance Wellness,,1529,South Street,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,1529 South Street,19146,philadelphia,PA
Bethesda Project - Brothers Keepers,,1628,South Street,"Philadelphia, PA 19146",,,,,Health & Human Services,,,,,,,,1628 South Street,19146,philadelphia,PA
Bethesda Project - Brothers Keepers,,1630,South Street,"Philadelphia, PA 19146",,,,,Health & Human Services,,,,,,,,1630 South Street,19146,philadelphia,PA
Health on South Rx,,1631,South Street,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,1631 South Street,19146,philadelphia,PA
Revel Ride,,1632,South Street,"Philadelphia, PA 19146",,,,,Fitness,,,,,,,,1632 South Street,19146,philadelphia,PA
Health on South Rx,,1633,South Street,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,1633 South Street,19146,philadelphia,PA
Puentes De Salud,,1700,South Street,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,1700 South Street,19146,philadelphia,PA
Health Harbor Spa,,2006,South Street,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,2006 South Street,19146,philadelphia,PA
Amrita Yoga South,,2306,South Street,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,2306 South Street,19146,philadelphia,PA
GAUDENZIA Washington House,,1516,Washington Avenue,"Philadelphia, PA 19146",,,,,Health & Human Services (addiction treatment),,,,,,,,1516 Washington Avenue,19146,philadelphia,PA
Feelean Fitness Training Studio,,1551,Washington Avenue,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,1551 Washington Avenue,19146,philadelphia,PA
Commando Krav Maga & Diamond Mixed Martial Arts,,1714,Washington Avenue,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,1714 Washington Avenue,19146,philadelphia,PA
OpenBox Athletics,,1901,Washington Avenue,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,1901 Washington Avenue,19146,philadelphia,PA
BalletX,,1923,Washington Avenue,"Philadelphia, PA 19146",,,,,Health & Wellness,,,,,,,,1923 Washington Avenue,19146,philadelphia,PA
Free House Fitness Studio,,1430,South Street,"Philadelphia, PA 19146",,,,,Gym / Physical Fitness,,,,,,,,1430 South Street,19146,philadelphia,PA
Indego Bike Station,,1505,South Street,"Philadelphia, PA 19146",,,,,Physical Fitness,,,,,,,,1505 South Street,19146,philadelphia,PA
Commando Krav Maga & Diamond Mixed Martial Arts,,2101,South Street,"Philadelphia, PA 19146",,,,,Heath / Physical Fitness,,,,,,,,2101 South Street,19146,philadelphia,PA
