Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,state
The Bainbridge Club,,1529,Bainbridge Street,"Philadelphia, PA 19146",,,,,Event Hall,,,,,,,,1529 Bainbridge Street,19146,philadelphia,PA
New Day Spring Baptist Church,,1621,Bainbridge Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,1621 Bainbridge Street,19146,philadelphia,PA
Holy Trinity Baptist Church,,1818,Bainbridge Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,1818 Bainbridge Street,19146,philadelphia,PA
Saint Mary's Episcopal Church,,1831,Bainbridge Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,1831 Bainbridge Street,19146,philadelphia,PA
Chabad Young Philly,,1432,Catharine Street,"Philadelphia, PA 19146",,,,,Event Hall,,,,,,,,1432 Catharine Street,19146,philadelphia,PA
Chester A. Arthur School,,2000,Catharine Street,"Philadelphia, PA 19146",,,,,School / Educational,,,,,,,,2000 Catharine Street,19146,philadelphia,PA
Mt Horeb Holy Church,,2100,Catharine Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,2100 Catharine Street,19146,philadelphia,PA
Catharine Park,,2200,Catharine Street,"Philadelphia, PA 19146",,,,,Park / Recreation,,,,,,,,2200 Catharine Street,19146,philadelphia,PA
Philadelphia Ebenezer Seventh-day Adventist Church,,1437,Christian Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,1437 Christian Street,19146,philadelphia,PA
Mighty Writers South,,1501,Christian Street,"Philadelphia, PA 19146",,,,,Educational,,,,,,,,1501 Christian Street,19146,philadelphia,PA
The Deacon,,1600,Christian Street,"Philadelphia, PA 19146",,,,,Hotel and Event Space,,,,,,,,1600 Christian Street,19146,philadelphia,PA
The Aspen Grove School,,1600,Christian Street,"Philadelphia, PA 19146",,,,,School / Educational / Day Care,,,,,,,,1600 Christian Street,19146,philadelphia,PA
YMCA - Christian Street Branch,,1724,Christian Street,"Philadelphia, PA 19146",,,,,Recreational / Educational,,,,,,,,1724 Christian Street,19146,philadelphia,PA
SOSNA (South of South Neighborhood Association),,1901,Christian Street,"Philadelphia, PA 19146",,,,,Local Government,,,,,,,,1901 Christian Street,19146,philadelphia,PA
St. Charles Senior Center,,1941,Christian Street,"Philadelphia, PA 19146",,,,,Senior Services,,,,,,,,1941 Christian Street,19146,philadelphia,PA
Christian Street Pharmacy,,1947,Christian Street,"Philadelphia, PA 19146",,,,,Medical / Pharmacy,,,,,,,,1947 Christian Street,19146,philadelphia,PA
Philly Free School,,2001,Christian Street,"Philadelphia, PA 19146",,,,,School / Educational / Day Care,,,,,,,,2001 Christian Street,19146,philadelphia,PA
Shiloh Baptist Church,,2040,Christian Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,2040 Christian Street,19146,philadelphia,PA
The Senior Resource Group,,2248,Christian Street,"Philadelphia, PA 19146",,,,,Heath Care / Insurance,,,,,,,,2248 Christian Street,19146,philadelphia,PA
Eco Cleaners,,2300,Christian Street,"Philadelphia, PA 19146",,,,,Dry Cleaner / Laundromat,,,,,,,,2300 Christian Street,19146,philadelphia,PA
Veolia Energy,,2600,Christian Street,"Philadelphia, PA 19146",,,,,Utility Company,,,,,,,,2600 Christian Street,19146,philadelphia,PA
Mina Motors,,1411,Fitzwater Street,"Philadelphia, PA 19146",,,,,Automotive / Car Services,,,,,,,,1411 Fitzwater Street,19146,philadelphia,PA
Slater Funeral Home,,1426,Fitzwater Street,"Philadelphia, PA 19146",,,,,Services (Funeral Home),,,,,,,,1426 Fitzwater Street,19146,philadelphia,PA
Union Baptist Church,,1910,Fitzwater Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,1910 Fitzwater Street,19146,philadelphia,PA
Sweet Pea Event Decorator,,2227,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Service (Decoration),,,,,,,,2227 Grays Ferry Avenue,19146,philadelphia,PA
Vinocity Events,,1814,Kater Street,"Philadelphia, PA 19146",,,,,Event Planning,,,,,,,,1814 Kater Street,19146,philadelphia,PA
Marian Anderson Historical Society & Museum,,762,Martin Street,"Philadelphia, PA 19146",,,,,Museum / Historical Society,,,,,,,,762 Martin Street,19146,philadelphia,PA
Community Laundromat,,1501,Montrose Street,"Philadelphia, PA 19146",,,,,Laundromat,,,,,,,,1501 Montrose Street,19146,philadelphia,PA
Family Dentistry - Silvana Cumani DMD & Associates PC,,2200,Montrose Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,2200 Montrose Street,19146,philadelphia,PA
Universal Companies,,800,S 15th Street,"Philadelphia, PA 19146",,,,,Developer,,,,,,,,800 S 15th Street,19146,philadelphia,PA
Universal Institute Charter School,,801,S 15th Street,"Philadelphia, PA 19146",,,,,School / Educational,,,,,,,,801 S 15th Street,19146,philadelphia,PA
UNITED MUSLIM MOVEMENT,,810,S 15th Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,810 S 15th Street,19146,philadelphia,PA
The Baker's Jar,,625,S 16th Street,"Philadelphia, PA 19146",,,,,Services (Bakery),,,,,,,,625 S 16th Street,19146,philadelphia,PA
Art Sanctuary,,628,S 16th Street,"Philadelphia, PA 19146",,,,,Art Gallery,,,,,,,,628 S 16th Street,19146,philadelphia,PA
Perfection Events Inc.,,628,S 16th Street,"Philadelphia, PA 19146",,,,,Services (Event Planning),,,,,,,,628 S 16th Street,19146,philadelphia,PA
United House - Prayer for All People,,742,S 16th Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,742 S 16th Street,19146,philadelphia,PA
Marian Anderson Park / Recreation Center,,740,S 17th Street,"Philadelphia, PA 19146",,,,,Parks and Recreation,,,,,,,,740 S 17th Street,19146,philadelphia,PA
Edwin M. Stanton School,,901,S 17th Street,"Philadelphia, PA 19146",,,,,School / Educational,,,,,,,,901 S 17th Street,19146,philadelphia,PA
L'anima,,1001,S 17th Street,"Philadelphia, PA 19146",,,,,Restaurant,,,,,,,,1001 S 17th Street,19146,philadelphia,PA
Erie Insurance - Gallo Insurance Agency,,617,S 18th Street,"Philadelphia, PA 19146",,,,,Services (Insurance),,,,,,,,617 S 18th Street,19146,philadelphia,PA
Learning Train Academy,,629,S 19th Street,"Philadelphia, PA 19146",,,,,School / Educational,,,,,,,,629 S 19th Street,19146,philadelphia,PA
The Foreign Mission Board,,701,S 19th Street,"Philadelphia, PA 19146",,,,,Services (Foreign Assistance),,,,,,,,701 S 19th Street,19146,philadelphia,PA
Volpe Real Estate Inc,,701,S 20th Street,"Philadelphia, PA 19146",,,,,Realtor,,,,,,,,701 S 20th Street,19146,philadelphia,PA
St Charles Borromeo Roman Catholic Church,,902,S 20th Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,902 S 20th Street,19146,philadelphia,PA
CHURCH OF THE LORD JESUS CHRIST OF THE APOSTOLIC FAITH,,701,S 22nd Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,701 S 22nd Street,19146,philadelphia,PA
Ready to Hand,,731,S 22nd Street,"Philadelphia, PA 19146",,,,,Services (Weaving),,,,,,,,731 S 22nd Street,19146,philadelphia,PA
Julian Abele Park,,917,S 22nd Street,"Philadelphia, PA 19146",,,,,Park / Recreation,,,,,,,,917 S 22nd Street,19146,philadelphia,PA
Unleashed by Petco,,520,S 23rd Street,"Philadelphia, PA 19146",,,,,Pet Services,,,,,,,,520 S 23rd Street,19146,philadelphia,PA
Church of God & Saints-Christ (First Tabernacle),,602,S Broad Street,"Philadelphia, PA 19146",,,,,House of Worship,,,,,,,,602 S Broad Street,19146,philadelphia,PA
Mark D. Hauser,,620,S Broad Street,"Philadelphia, PA 19146",,,,,Lawyer,,,,,,,,620 S Broad Street,19146,philadelphia,PA
Avenue of the Arts Dental,,624,S Broad Street,"Philadelphia, PA 19146",,,,,Medical,,,,,,,,624 S Broad Street,19146,philadelphia,PA
United Check Cashing,,628,S Broad Street,"Philadelphia, PA 19146",,,,,Services (Money Cashing),,,,,,,,628 S Broad Street,19146,philadelphia,PA
Printed Image Gallery,,728,S Broad Street,"Philadelphia, PA 19146",,,,,Art gallery,,,,,,,,728 S Broad Street,19146,philadelphia,PA
Keller Williams,,728,S Broad Street,"Philadelphia, PA 19146",,,,,Real Estate,,,,,,,,728 S Broad Street,19146,philadelphia,PA
Brandywine Workshop,,730,S Broad Street,"Philadelphia, PA 19146",,,,,Art gallery,,,,,,,,730 S Broad Street,19146,philadelphia,PA
Skai Blue Media,,732,S Broad Street,"Philadelphia, PA 19146",,,,,Services (PR),,,,,,,,732 S Broad Street,19146,philadelphia,PA
TINDLEY TEMPLE UNITED METHODIST CHURCH,,750,S Broad Street,"Philadelphia, PA 19146",,,,,House of worship,,,,,,,,750 S Broad Street,19146,philadelphia,PA
EARLY CHILDHOOD ENVIRONMENTS DESIGN,,762,S Broad Street,"Philadelphia, PA 19146",,,,,Child Care,,,,,,,,762 S Broad Street,19146,philadelphia,PA
TINDLEY TEMPLE,,762,S Broad Street,"Philadelphia, PA 19146",,,,,House of worship,,,,,,,,762 S Broad Street,19146,philadelphia,PA
Circle Mission Church Home,,772,S Broad Street,"Philadelphia, PA 19146",,,,,House of worship,,,,,,,,772 S Broad Street,19146,philadelphia,PA
Your Other Hands Nanny Service,,714,S Colorado Street,"Philadelphia, PA 19146",,,,,Services (Day Care),,,,,,,,714 S Colorado Street,19146,philadelphia,PA
South Street Bridge Window Tinting,,613,Schuylkill Avenue,"Philadelphia, PA 19146",,,,,Automotive / Car Services,,,,,,,,613 Schuylkill Avenue,19146,philadelphia,PA
South Street Parking,,1418,South Street,"Philadelphia, PA 19146",,,,,Parking,,,,,,,,1418 South Street,19146,philadelphia,PA
E Z PARKS INC,,1441,South Street,"Philadelphia, PA 19146",,,,,Parking,,,,,,,,1441 South Street,19146,philadelphia,PA
Tara Management Services,,1502,South Street,"Philadelphia, PA 19146",,,,,Real Estate,,,,,,,,1502 South Street,19146,philadelphia,PA
Campbell Thomas & Company,,1504,South Street,"Philadelphia, PA 19146",,,,,Architects / Designers,,,,,,,,1504 South Street,19146,philadelphia,PA
Eastern Service Workers Association,,1518,South Street,"Philadelphia, PA 19146",,,,,Trade Association,,,,,,,,1518 South Street,19146,philadelphia,PA
South Street Sounds,,1531,South Street,"Philadelphia, PA 19146",,,,,Recording Studio,,,,,,,,1531 South Street,19146,philadelphia,PA
Richardson Alarm Services,,1535,South Street,"Philadelphia, PA 19146",,,,,Service (Alarm),,,,,,,,1535 South Street,19146,philadelphia,PA
State Farm - Judd Greenburg,,1546,South Street,"Philadelphia, PA 19146",,,,,Insurance,,,,,,,,1546 South Street,19146,philadelphia,PA
Keeler William - Geddes Team Realty,,1610,South Street,"Philadelphia, PA 19146",,,,,Realtor,,,,,,,,1610 South Street,19146,philadelphia,PA
North of No. South Laundromat,,1611,South Street,"Philadelphia, PA 19146",,,,,Laundromat,,,,,,,,1611 South Street,19146,philadelphia,PA
Western Community Day Care Center,,1613,South Street,"Philadelphia, PA 19146",,,,,School / Educational / Day Care,,,,,,,,1613 South Street,19146,philadelphia,PA
