Business Name,Open /Closed,Street Number,Street Name 1,Street Name 2,Telephone No.,Website,Facebook,Instagram,Description,Food & Drink,Stores and Shopping,"Health, Wellness and Fitness",Entertainment,Contractors / Construction,Hair and Nails,"New in Town Info / Other (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Kids, Pets)",street_address,zip code,city,state
Houdini Lock & Safe,,616,S Broad Street,"Philadelphia, PA 19146",,,,,Retail,,,,,,,,616 S Broad Street,19146,philadelphia,PA
Via Bicycle,,622,S Broad Street,"Philadelphia, PA 19146",,,,,Retail,,,,,,,,622 S Broad Street,19146,philadelphia,PA
RITE AID OF PENNSYLVANIA INC,,810,S Broad Street,"Philadelphia, PA 19146",,,,,Retail,,,,,,,,810 S Broad Street,19146,philadelphia,PA
Sprint,,1000,S Broad Street,"Philadelphia, PA 19146",,,,,Retail,,,,,,,,1000 S Broad Street,19146,philadelphia,PA
Target,,1020,S Broad Street,"Philadelphia, PA 19146",,,,,Retail,,,,,,,,1020 S Broad Street,19146,philadelphia,PA
CVS Pharmacy,,1020,S Broad Street,"Philadelphia, PA 19146",,,,,Retail / Medical / Pharmacy,,,,,,,,1020 S Broad Street,19146,philadelphia,PA
Hearth & Stove,,1719,South Street,"Philadelphia, PA 19146",,,,,"Retail (Stoves, Fireplaces Chimney)",,,,,,,,1719 South Street,19146,philadelphia,PA
Bicycle Therapy,,2211,South Street,"Philadelphia, PA 19146",,,,,Retail (Bicycles),,,,,,,,2211 South Street,19146,philadelphia,PA
C R Ettinger Studio,,2215,South Street,"Philadelphia, PA 19146",,,,,Retail (Art Gallery),,,,,,,,2215 South Street,19146,philadelphia,PA
Fine Wine & Good Spirits,,1403,Washington Avenue,"Philadelphia, PA 19146",,,,,Retail (Alcohol),,,,,,,,1403 Washington Avenue,19146,philadelphia,PA
Metro by T-Mobile,,1901,Washington Avenue,"Philadelphia, PA 19146",,,,,Retail,,,,,,,,1901 Washington Avenue,19146,philadelphia,PA
Springfield Beer Distributor,,2206,Washington Avenue,"Philadelphia, PA 19146",,,,,Retail (Alcohol),,,,,,,,2206 Washington Avenue,19146,philadelphia,PA
Habitat for Humanity Philadelphia ReStore,,2318,Washington Avenue,"Philadelphia, PA 19146",,,,,Retail,,,,,,,,2318 Washington Avenue,19146,philadelphia,PA
Woven Treasures,,2221,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Retail (Wool Items),,,,,,,,2221 Grays Ferry Avenue,19146,philadelphia,PA
Giant Heirloom Market,,2303,Bainbridge Street,"Philadelphia, PA 19146",,,,,Grocery Store / Convenience Store / Deli,,,,,,,,2303 Bainbridge Street,19146,philadelphia,PA
Nunez Grocery,,1544,Christian Street,"Philadelphia, PA 19146",,,,,Grocery Store / Convenience Store / Deli,,,,,,,,1544 Christian Street,19146,philadelphia,PA
Green Aisle Grocery,,2241,Grays Ferry Avenue,"Philadelphia, PA 19146",,,,,Grocery Store / Convenience Store / Deli,,,,,,,,2241 Grays Ferry Avenue,19146,philadelphia,PA
Reyes Grocery,,924,S 20th Street,"Philadelphia, PA 19146",,,,,Grocery Store,,,,,,,,924 S 20th Street,19146,philadelphia,PA
Kennedy Grocery,,725,S 22nd Street,"Philadelphia, PA 19146",,,,,Grocery Store,,,,,,,,725 S 22nd Street,19146,philadelphia,PA
Sprouts,,1000,S Broad Street,"Philadelphia, PA 19146",,,,,Grocery Store / Convenience Store / Deli,,,,,,,,1000 S Broad Street,19146,philadelphia,PA
Tesoro Design,,1533,South Street,"Philadelphia, PA 19146",,,,,Store (Leather),,,,,,,,1533 South Street,19146,philadelphia,PA
M Concept Clothing Store,,1540,South Street,"Philadelphia, PA 19146",,,,,Clothing Store,,,,,,,,1540 South Street,19146,philadelphia,PA
Work Shop Underground,,1544,South Street,"Philadelphia, PA 19146",,,,,Jewelry Store,,,,,,,,1544 South Street,19146,philadelphia,PA
Senoj Clothing,,1609,South Street,"Philadelphia, PA 19146",,,,,Shopping - Boutique Clothing Store,,,,,,,,1609 South Street,19146,philadelphia,PA
Choice Deli,,1642,South Street,"Philadelphia, PA 19146",,,,,Convenience Store / Deli,,,,,,,,1642 South Street,19146,philadelphia,PA
7-ELEVEN INC,,1701,South Street,"Philadelphia, PA 19146",,,,,Convenience Store / Deli,,,,,,,,1701 South Street,19146,philadelphia,PA
SOUTH DELI AND GROCERY,,1739,South Street,"Philadelphia, PA 19146",,,,,Grocery Store / Convenience Store / Deli,,,,,,,,1739 South Street,19146,philadelphia,PA
Neighborhood Book Store,,1906,South Street,"Philadelphia, PA 19146",,,,,Shopping - Book Store,,,,,,,,1906 South Street,19146,philadelphia,PA
WAWA INC,,2101,South Street,"Philadelphia, PA 19146",,,,,Convenience Store / Deli,,,,,,,,2101 South Street,19146,philadelphia,PA
Sophisticated Seconds,,2204,South Street,"Philadelphia, PA 19146",,,,,Clothing Store,,,,,,,,2204 South Street,19146,philadelphia,PA
Momo's Tree House,,2207,South Street,"Philadelphia, PA 19146",,,,,Toy Store,,,,,,,,2207 South Street,19146,philadelphia,PA
South Square Market,,2221,South Street,"Philadelphia, PA 19146",,,,,Food Store,,,,,,,,2221 South Street,19146,philadelphia,PA
