business_name	,Open /Closed,Street Number,Street Name 1,Street Name 2,business_phone_number	,website,Facebook,Instagram,long_business_description,"Restaurants, Food & Drink, Grocery / Convenience Stores",Stores & Shopping,"Medical, Health, Wellness & Fitness",Arts & Entertainment,"Automotive, Contractors & Construction Materials",Hair & Nails,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",business_address,zip_code,business_website_address,,,,business_genre,business_contact_email
Campbell Thomas & Company,,1504,South Street,"Philadelphia, PA 19146",(215) 545-1076,aiaphiladelphia.org/firm/campbell-thomas-co-architects,facebook.com/pages/Campbell-Thomas-and-Company/1486402631646149,,Architects / Designers,,,,,,,X,1504 South Street,"Philadelphia, PA 19146",aiaphiladelphia.org/firm/campbell-thomas-co-architects,,,,"Other Businesses (Parks, School, Banks, Drycleaner/Laundromat, Houses of Worship, Senior Services, Professional Services, Legal, Kids, Pets, Parks & Recreation, Parking)",","
Art Sanctuary,,628,S 16th Street,"Philadelphia, PA 19146",(215) 232-4485,artsanctuary.org/,facebook.com/ArtSanctuaryPhilly,,Art Gallery,,,,X,,,,628 S 16th Street,"Philadelphia, PA 19146",artsanctuary.org/,,,,Arts & Entertainment,","
Brandywine Workshop,,730,S Broad Street,"Philadelphia, PA 19146",(215) 546-3675,brandywineworkshopandarchives.org/,facebook.com/BrandywineWorkshop/,instagram.com/brandywine_workshop/,Art Gallery,,,,X,,,,730 S Broad Street,"Philadelphia, PA 19146",brandywineworkshopandarchives.org/,,,,Arts & Entertainment,","
Mina Motors,,1411,Fitzwater Street,"Philadelphia, PA 19146",(215) 735-2749,,facebook.com/minamotorsautorepair/,,Automotive / Car Services,,,,,X,,,1411 Fitzwater Street,"Philadelphia, PA 19146",facebook.com/minamotorsautorepair/,,,,"Automotive, Contractors & Construction Materials",","
South Street Bridge Window Tinting,,613,Schuylkill Avenue,"Philadelphia, PA 19146",(215) 875-9290,southstreetbridgewindowtinting.com/,facebook.com/TintmanJohn/?hc_ref=SEARCH,,Automotive / Car Services,,,,,X,,,613 Schuylkill Avenue,"Philadelphia, PA 19146",southstreetbridgewindowtinting.com/,,,,"Automotive, Contractors & Construction Materials",","
Basil's Auto Body,,1645,Washington Avenue,"Philadelphia, PA 19146",(215) 735-2199,usaautobody.net/,,,Automotive / Car Services,,,,,X,,,1645 Washington Avenue,"Philadelphia, PA 19146",usaautobody.net/,,,,"Automotive, Contractors & Construction Materials",","
AUTOZONE,,1730,Washington Avenue,"Philadelphia, PA 19146",(215) 772-3002,autozone.com/locations/pa/philadelphia/1730-washington-st.html,facebook.com/autozone?spps.s=1890,,Automotive / Car Services,,,,,X,,,1730 Washington Avenue,"Philadelphia, PA 19146",autozone.com/locations/pa/philadelphia/1730-washington-st.html,,,,"Automotive, Contractors & Construction Materials",","
CALIBER Collision,,2052,Washington Avenue,"Philadelphia, PA 19146",(215) 545-9969,calibercollision.com/locate-a-caliber-collision-center/center-city-south,facebook.com/pages/Caliber-Collision/179049245541477,,Automotive / Car Services,,,,,X,,,2052 Washington Avenue,"Philadelphia, PA 19146",calibercollision.com/locate-a-caliber-collision-center/center-city-south,,,,"Automotive, Contractors & Construction Materials",","
S&F Auto Detailing,,2427,Washington Avenue,"Philadelphia, PA 19146",(215) 605-1885,,,,Automotive / Car Services,,,,,X,,,2427 Washington Avenue,"Philadelphia, PA 19146",,,,,"Automotive, Contractors & Construction Materials",","
KX AUTO LLC,,2429,Washington Avenue,"Philadelphia, PA 19146",(267) 324-5784,,facebook.com/kxautomotive/,,Automotive / Car Services,,,,,X,,,2429 Washington Avenue,"Philadelphia, PA 19146",facebook.com/kxautomotive/,,,,"Automotive, Contractors & Construction Materials",","
